CNPJ_Fundo_Classe;Data_Referencia;Versao;Nome_Ativo;Principais_Caracteristicas;Valor
61.007.289/0001-65;2026-03-31;1;SÃO BENTO DO ABADE;DIREITO DE SUPERFICIE;510459.32
61.007.289/0001-65;2026-06-30;1;LIBERDADE;DIREITO DE SUPERFICIE;530763.91
61.007.289/0001-65;2026-06-30;1;MUNDO MELHOR;DIREITO DE SUPERFICIE;558936.77
61.007.289/0001-65;2026-06-30;1;SÃO BENTO DO ABADE;DIREITO DE SUPERFICIE;510459.32
61.007.289/0001-65;2026-06-30;1;DRS-CARMO;DIREITO DE SUPERFICIE;62520000
61.007.289/0001-65;2026-06-30;1;DRS-PAINS;DIREITO DE SUPERFICIE;23490000
61.007.289/0001-65;2026-06-30;1;DRS-PIRASSUNUNGA;DIREITO DE SUPERFICIE;18480000
61.007.289/0001-65;2026-06-30;1;DRS-CATENA;DIREITO DE SUPERFICIE;18170000
61.796.062/0001-46;2026-06-30;1;Direito Real de Superficie;Imóvel com Direito Real de Superficie - Av. República do Líbano, 705;17892990.02
63.104.203/0001-48;2026-03-31;1;Ambev CDDs ENF;Ativos imobiliários adquiridos por meio de direitos reais de superfície, pelos quais o fundo obtém o direito de uso e exploração econômica de imóveis de terceiros por prazo determinado. Os ativos são destinados exclusivamente à locação na modalidade built to suit, regida pelo art. 54-A da Lei do Inquilinato, que prevê multa altamente punitiva em caso de rescisão antecipada. A aquisição ocorreu com os ativos já operacionais há pelo menos seis meses, reduzindo risco de construção, e conta como principais garantias contratos de longo prazo com locatários de baixo risco de crédito (locatárias com rating), seguros do projeto e procuração que permite ao locador assumir ou redirecionar o uso da energia e a titularidade do medidor em caso de inadimplência.;638332.65
63.104.203/0001-48;2026-03-31;1;Ambev CDDs ESS1;Ativos imobiliários adquiridos por meio de direitos reais de superfície, pelos quais o fundo obtém o direito de uso e exploração econômica de imóveis de terceiros por prazo determinado. Os ativos são destinados exclusivamente à locação na modalidade built to suit, regida pelo art. 54-A da Lei do Inquilinato, que prevê multa altamente punitiva em caso de rescisão antecipada. A aquisição ocorreu com os ativos já operacionais há pelo menos seis meses, reduzindo risco de construção, e conta como principais garantias contratos de longo prazo com locatários de baixo risco de crédito (locatárias com rating), seguros do projeto e procuração que permite ao locador assumir ou redirecionar o uso da energia e a titularidade do medidor em caso de inadimplência.;373934.51
63.104.203/0001-48;2026-03-31;1;Ambev CDDs ESS2;Ativos imobiliários adquiridos por meio de direitos reais de superfície, pelos quais o fundo obtém o direito de uso e exploração econômica de imóveis de terceiros por prazo determinado. Os ativos são destinados exclusivamente à locação na modalidade built to suit, regida pelo art. 54-A da Lei do Inquilinato, que prevê multa altamente punitiva em caso de rescisão antecipada. A aquisição ocorreu com os ativos já operacionais há pelo menos seis meses, reduzindo risco de construção, e conta como principais garantias contratos de longo prazo com locatários de baixo risco de crédito (locatárias com rating), seguros do projeto e procuração que permite ao locador assumir ou redirecionar o uso da energia e a titularidade do medidor em caso de inadimplência.;380733.32
63.104.203/0001-48;2026-03-31;1;Ambev CDDs ESS3;Ativos imobiliários adquiridos por meio de direitos reais de superfície, pelos quais o fundo obtém o direito de uso e exploração econômica de imóveis de terceiros por prazo determinado. Os ativos são destinados exclusivamente à locação na modalidade built to suit, regida pelo art. 54-A da Lei do Inquilinato, que prevê multa altamente punitiva em caso de rescisão antecipada. A aquisição ocorreu com os ativos já operacionais há pelo menos seis meses, reduzindo risco de construção, e conta como principais garantias contratos de longo prazo com locatários de baixo risco de crédito (locatárias com rating), seguros do projeto e procuração que permite ao locador assumir ou redirecionar o uso da energia e a titularidade do medidor em caso de inadimplência.;373934.51
63.104.203/0001-48;2026-03-31;1;PMNE Lençois;Ativos imobiliários adquiridos por meio de direitos reais de superfície, pelos quais o fundo obtém o direito de uso e exploração econômica de imóveis de terceiros por prazo determinado. Os ativos são destinados exclusivamente à locação na modalidade built to suit, regida pelo art. 54-A da Lei do Inquilinato, que prevê multa altamente punitiva em caso de rescisão antecipada. A aquisição ocorreu com os ativos já operacionais há pelo menos seis meses, reduzindo risco de construção, e conta como principais garantias contratos de longo prazo com locatários de baixo risco de crédito (locatárias com rating), seguros do projeto e procuração que permite ao locador assumir ou redirecionar o uso da energia e a titularidade do medidor em caso de inadimplência.;11463696.87
