CNPJ_Fundo_Classe;Data_Referencia;Versao;Classe;Nome_Imovel;Endereco;Area;Numero_Unidades;Outras_Caracteristicas_Relevantes;Percentual_Vacancia;Percentual_Inadimplencia;Percentual_Receitas_FII;Percentual_Locado;Percentual_Vendido;Percentual_Conclusao_Obras_Realizado;Percentual_Conclusao_Obras_Previsto;Custo_Construcao_Realizado;Custo_Construcao_Previsto;Percentual_Imovel_Total_Investido
44.669.674/0001-59;2026-03-31;1;Imóveis para renda acabados;FLA_108004;Não possui informação apresentada;0;1;Não possui informação apresentada;0.005851;0;0;;;;;;;
44.669.674/0001-59;2026-03-31;1;Imóveis para renda acabados;GUARUJ_58999;Avenida Thiago Ferreira, 652 - Jardim Santense - Guarujá-SP 11450-001;398.6;1;Matrícula 58.999;0;0;0;;;;;;;
44.669.674/0001-59;2026-03-31;1;Imóveis para renda acabados;Unip_140923;AVENIDA CAPITÃO LUIZ HOUNEAUX, 699;0;1;140923;0.005851;0;0;;;;;;;
44.669.674/0001-59;2026-03-31;1;Imóveis para renda acabados;FLA_108035;Não possui informação apresentada;0;1;Não possui informação apresentada;0.005851;0;0;;;;;;;
44.669.674/0001-59;2026-03-31;1;Imóveis para renda acabados;VILLA 21;Condomínio Villas Fasano, S/N - Unidade nº 21 - Trancoso - Porto Seguro-BA - 45810-000;539.86;1;Matrícula 49123;0;0;0;;;;;;;
44.669.674/0001-59;2026-03-31;1;Imóveis para renda acabados;CANOAS_23374;Rua Antônio Frederico Ozanam, 1901 - Brigadeira - Canoas-RS - 92420-360;28013.74;1;Matrícula 23.374;0;0;0;;;;;;;
44.669.674/0001-59;2026-03-31;1;Imóveis para renda acabados;Unip_17427;RUA FERNANDES PINHEIRO , NR 32  e RUA MELO FREIRE;0;1;17427;0.005851;0;0;;;;;;;
44.669.674/0001-59;2026-03-31;1;Imóveis para renda acabados;118984_237;Avenida Henrique Gonçalves Batista, 237 - Jardim Belval;2444.75;1;Matrícula: 118.984 . Oficial de Registro de Imóveis de Barueri/SP;0;0;0;;;;;;;
44.669.674/0001-59;2026-03-31;1;Imóveis para renda acabados;Unip_8841;AV. BRASIL, Nº 87 - LOTE 36;0;1;8841;0.005851;0;0;;;;;;;
44.669.674/0001-59;2026-03-31;1;Imóveis para renda acabados;VILLA 13;Condomínio Villas Fasano, S/N - Unidade nº 13 - Trancoso - Porto Seguro-BA - 45810-000;105.63;1;Matrícula 49115;0;0;0;;;;;;;
44.669.674/0001-59;2026-03-31;1;Imóveis para renda acabados;Unip_2566;AV. MARIA NUNES CORREA BAIRRO ELISEOS LOTE 02,03,04,05,06,07,08,09,10,11,12 19,20,21,22 E 23 (13 IPTUs);0;1;2566;0.005851;0;0;;;;;;;
44.669.674/0001-59;2026-03-31;1;Imóveis para renda acabados;Unip_5509;LOTE 1-A SETOR INFLAMAEIS DO SUL;0;1;5509;0.005851;0;0;;;;;;;
44.669.674/0001-59;2026-03-31;1;Imóveis para renda acabados;FLA_107973;Não possui informação apresentada;0;1;Não possui informação apresentada;0.005851;0;0;;;;;;;
44.669.674/0001-59;2026-03-31;1;Imóveis para renda acabados;Green_162665;RUA MANOEL NASCIMENTO ESTEVAM FURTADO / RUA CAPITÃO PEDRO FREDERICO DE ALMEIDA;0;1;162665;0.005851;0;0;;;;;;;
44.669.674/0001-59;2026-03-31;1;Imóveis para renda acabados;Green_166312;MANOEL N. ESTEVAM FURTADO, 35;0;1;166312;0.005851;0;0;;;;;;;
44.669.674/0001-59;2026-03-31;1;Imóveis para renda acabados;Unip_2565;AV. MARIA NUNES CORREA BAIRRO ELISEOS LOTE 02,03,04,05,06,07,08,09,10,11,12 19,20,21,22 E 23 (13 IPTUs);0;1;2565;0.005851;0;0;;;;;;;
44.669.674/0001-59;2026-03-31;1;Imóveis para renda acabados;Unip_44820;AV. GETULIO VARGAS  ESQUINA COM A RUA CAIUBY;0;1;44820;0.005851;0;0;;;;;;;
