CNPJ_Fundo_Classe;Data_Referencia;Versao;Nome_Imovel;Endereco;Data_Alienacao;Area;Numero_Unidades;Outras_Caracteristicas_Relevantes;Percentual_Imovel_Total_Investido;Percentual_Imovel_PL
50.569.855/0001-06;2025-09-30;1;HELBOR VILA OLIMPIA HOME & STA;Rua Funchal nº 65 - Vila Olimpia SP;2025-09-30;1276.5;35;Cartorio de Imoveis - 4º RGI/SP / Matricula Area Maior - 108.072;0;0
51.472.985/0001-99;2025-06-30;1;N/A;;;;;N/A;;
51.870.412/0001-13;2025-03-31;1;Coral Gables - Vetter;Av. Antônio Joaquim Tavares, nº 824, Bairro Centro, Penha, Estado de Santa Catarina, CEP 88.838-000.;2025-01-17;132.13;1;N/A;0.1569;0.001951
51.870.412/0001-13;2025-03-31;1;Alpha Houses I - Modena;Estrada Lula Chaves, 386 - Santana do Parnaíba;2025-01-24;514.44;2;N/A;0.2862;0.00294
51.870.412/0001-13;2025-03-31;1;Green View - Patrimônio;Rua São Sebastião, 318, Brooklin - São Paulo / SP.;2025-01-27;57.74;1;N/A;0.0572;0.000705
51.870.412/0001-13;2025-03-31;1;Haia Boa Vista - GRM;Av. Boa Vista B, 140 - Boa Vista - Sorocaba - SP;2025-02-14;188.18;1;N/A;0.0695;0.001551
51.870.412/0001-13;2025-03-31;1;Vista Madalena By You, Inc;Rua Paulistânia, 80 - Vila Madalena, São Paulo - SP, 05440-000;2025-02-20;104.94;1;N/A;0.0803;0.002306
51.870.412/0001-13;2025-03-31;1;José Antonio Bortolotto - MGB;R. JOSÉ RUSSI ESQ.C/R.RAFAEL DE CARVALHO N° 11 -SANTO ANTONIO DE POSSE;2025-02-28;42.78;1;N/A;0.014612;0.000168
51.870.412/0001-13;2025-03-31;1;José Antonio Bortolotto - MGB;R. JOSÉ RUSSI ESQ.C/R.RAFAEL DE CARVALHO N° 11 -SANTO ANTONIO DE POSSE;2025-03-12;213.9;5;N/A;0.073578;0.000836
51.870.412/0001-13;2025-03-31;1;Unlimited - Oscar Freire - Youi, Inc;R. Oscar Freire, 1597 -Cerqueira César  - São Paulo - SP;2025-03-27;220.02;1;N/A;0.125;0.00723
51.870.412/0001-13;2025-06-30;1;Patriani Mirai Atibaia;Av. Dona Gertrudes, 181, Atibaia, São Paulo;2025-05-20;80.03;1;N/A;0.0909;0.000985
51.870.412/0001-13;2025-06-30;1;Patriani Mirai Atibaia;Av. Dona Gertrudes, 181, Atibaia, São Paulo;2025-06-13;160.06;2;N/A;0.1818;0.001969
51.870.412/0001-13;2025-06-30;1;Patriani Mirai Atibaia;Av. Dona Gertrudes, 181, Atibaia, São Paulo;2025-06-25;80.03;1;N/A;0.0909;0.000985
51.870.412/0001-13;2025-06-30;1;Haia Boa Vista - GRM;Av. Boa Vista B, 140 - Boa Vista - Sorocaba - SP;2025-05-27;188.18;1;N/A;0.0733;0.001635
51.870.412/0001-13;2025-06-30;1;Stillo Barra - AGER;Rua Via Projetada 2, 111 - Rio de Janeiro;2025-06-12;59.94;1;N/A;0.2168;0.000535
51.870.412/0001-13;2025-09-30;1;Patriani Mirai Suzano;R. Nove de Julho, 1400 - Jardim Santa Helena, Suzano - SP, 08674-230;2025-09-05;45.74;1;N/A;0.0383;0.0005
51.870.412/0001-13;2025-09-30;1;Gafisa - Evolve Vila Mariana;R. Manuel de Paiva, 129 - Vila Mariana, São Paulo - SP, 04106-020;2025-07-31;331.88;7;N/A;0.1682;0.0049
51.870.412/0001-13;2025-09-30;1;José Antonio Bortolotto - MGB;R. JOSÉ RUSSI ESQ.C/R.RAFAEL DE CARVALHO N° 11 -SANTO ANTONIO DE POSSE;2025-07-31;85.56;2;N/A;0.0322;0.0003
51.870.412/0001-13;2025-09-30;1;José Antonio Bortolotto - MGB;R. JOSÉ RUSSI ESQ.C/R.RAFAEL DE CARVALHO N° 11 -SANTO ANTONIO DE POSSE;2025-08-31;42.78;1;N/A;0.0166;0.0002
51.870.412/0001-13;2025-09-30;1;Edifício Gibran;Rua Alberto Neder 424 - Campo Grande;2025-08-22;168.67;1;N/A;0.0909;0.0015
51.870.412/0001-13;2025-09-30;1;Residencial Aquarela Habitat;Rua Antônio Brochado, nº 1.005, Nova Divinéia - Unaí / MG.;2025-07-25;70.39;1;N/A;0.0609;0.0006
51.870.412/0001-13;2025-09-30;1;Residencial Vida Habitat;R. Paranaíba, 581 - St. Planalto, Jataí - GO, 75805-045;2025-07-10;78.84;1;N/A;0.1163;0.0007
51.870.412/0001-13;2025-09-30;1;Residencial Vida Habitat;R. Paranaíba, 581 - St. Planalto, Jataí - GO, 75805-045;2025-09-22;78.84;1;N/A;0.1316;0.0007
51.870.412/0001-13;2025-09-30;1;Patriani Mirai Atibaia;Av. Dona Gertrudes, 181, Atibaia, São Paulo;2025-08-31;240.09;3;N/A;0.4286;0.0028
51.870.412/0001-13;2025-09-30;1;Patriani Mirai Atibaia;Av. Dona Gertrudes, 181, Atibaia, São Paulo;2025-09-30;160.06;2;N/A;0.5;0.0019
55.793.516/0001-22;2025-03-31;1;P0076-ROOFT;Rua Santo André, nº 366, apartamento 51 e box de garagem G-9, Ed. Amarilis, CEP 09020-230 - Santo André/São Paulo;2025-03-28;164;1;n/a;0;0
58.544.087/0001-48;2025-06-30;1;Nome;Endereço;;Área;;Outras características relevantes;;
58.561.054/0001-06;2025-06-30;2;ED. BRASÍLIO MACHADO NETO;Rua Dr. Cardoso de Mello, 1855;2025-06-06;206.8;1;Cj 31-A, subdivisão do cj 31, localizado no 3º andar, com área privativa de 206,80m², objeto da matrícula nº 52073 do 4° registro de imóveis.  Contrato de locação formalizado, com vigência a partir de maio/25.;0.157566;0.099652
58.561.054/0001-06;2025-06-30;2;ED. BRASÍLIO MACHADO NETO;Rua Dr. Cardoso de Mello, 1855;2025-06-06;198.08;1;Cj 32-A, subdivisão do cj 32, localizado no 3º andar, com área privativa de 198,08m², objeto da matrícula nº 52074 do 4° registro de imóveis.  Contrato de locação formalizado, com vigência a partir de maio/25.;0.114528;0.072432
58.561.054/0001-06;2025-06-30;2;ED. BRASÍLIO MACHADO NETO;Rua Dr. Cardoso de Mello, 1855;2025-06-06;93.4;4;Vagas de garagem nº 63 a 66, localizadas no 1º subsolo, sendo cada vaga objeto de matrícula distinta (nº respectivos 52.193 a 52.196), com área construída de 23,35m² cada.;0.038752;0.024509
58.561.054/0001-06;2025-09-30;1;ED. BRASÍLIO MACHADO NETO;Rua Dr. Cardoso de Mello, 1855;2025-07-06;178.01;1;Cj 31-B, subdivisão do cj 31, localizado no 3º andar, com área privativa de 178,01m², objeto da matrícula nº 52073 do 4° registro de imóveis.  Contrato de locação formalizado, com vigência a partir de julho/25.;0.194924331458479;0.0784823691023961
58.561.054/0001-06;2025-09-30;1;ED. BRASÍLIO MACHADO NETO;Rua Dr. Cardoso de Mello, 1856;2025-07-06;70.05;3;Vagas de garagem nº 67 a 69, localizadas no 1º subsolo, sendo cada vaga objeto de matrícula distinta (nº respectivos 52.197 a 52.199), com área construída de 23,35m² cada. As 3 vagas somam 70,05m².;0.0766513297123395;0.0308621191908754
58.561.054/0001-06;2025-09-30;1;ED. BRASÍLIO MACHADO NETO;Rua Dr. Cardoso de Mello, 1855;2025-08-01;186.75;1;Cj 32-B, subdivisão do cj 32, localizado no 3º andar, com área privativa de 186,73m², objeto da matrícula nº 52074 do 4° registro de imóveis.;0.0967503544140181;0.0967503544140181
58.561.054/0001-06;2025-09-30;1;ED. BRASÍLIO MACHADO NETO;Rua Dr. Cardoso de Mello, 1857;2025-08-01;23.35;1;Vaga de garagem nº 70, localizadas no 1º subsolo, sendo objeto da matrícula nº 52.200, com área construída de 23,35m² cada.;0.00535031681234063;0.00535031681234063
58.561.306/0001-05;2025-06-30;1;ED. BRASÍLIO MACHADO NETO;Rua Dr. Cardoso de Mello, 1855;2025-06-03;384.81;1;Cj 82 - localizado no 8º andar, com área privativa de 384,81m², objeto da matrícula nº 52084 do 4° registro de imóveis.;0.34362;0.341951
58.561.306/0001-05;2025-06-30;1;ED. BRASÍLIO MACHADO NETO;Rua Dr. Cardoso de Mello, 1855;2025-06-03;140.1;6;Vagas de garagem nº 93 a 98, localizadas no 1º subsolo, sendo cada vaga objeto de matrícula distinta (nº respectivos 52.223 a 52.228), com área construída de 23,35m² cada. As 6 vagas somam 140,10m².;0.125104;0.124496
58.561.306/0001-05;2025-06-30;1;ED. BRASÍLIO MACHADO NETO;Rua Dr. Cardoso de Mello, 1855;2025-06-03;46.7;2;Vagas de garagem nº 33 a 34, localizadas no 2º subsolo, sendo cada vaga objeto de matrícula distinta (nº respectivos 52.378 a 52.379), com área construída de 23,35m² cada. As 2 vagas somam 46,70m².;0.041701;0.041499
