CNPJ_Fundo_Classe;Data_Referencia;Versao;Endereco;Area;Outras_Caracteristicas_Relevantes;Percentual_Terreno_Total_Investido;Percentual_Terreno_PL
52.366.833/0001-74;2025-12-31;1;Rodovia Amaral Peixoto- RJ 106;66545.1;1º DISTRITO DE MARICÁ;0.540248;0.479074
53.191.611/0001-20;2025-03-31;2;TERRENO BR364;;TERRENO BR364 - ESCRITURA;;
53.191.611/0001-20;2025-06-30;2;TERRENO BR364;;TERRENO BR364 - ESCRITURA;;
54.505.336/0001-35;2025-06-30;1;Rodovia Armando Salles - SP 228, Estrada do Campestre, na Cidade de Itapecerica da Serra, Estado de São Paulo;129801;Matrícula 125435;0.9357;0.937382
55.435.378/0001-00;2025-09-30;1;PRAÇA DA REPÚBLICA, 410, São Paulo, SP;0;Matricula 37.166;0.1952;0.1503
56.992.328/0001-96;2025-12-31;1;Porto Feliz;430553;EE;0;0
56.992.328/0001-96;2025-12-31;1;Porto Feliz;26507.2;VG;0;0
56.992.328/0001-96;2025-12-31;1;Porto Feliz;10984.1;VP;0;0
56.992.328/0001-96;2025-12-31;1;Porto Feliz;457601;EL1;0;0
57.961.321/0001-70;2025-03-31;1;AVENIDA DOUTOR MARTIN LUTHER KING, S/N - LOTE 2 QD 1 - Umuarama - Osasco - SP;5288.62;Loteamento Jardim Santo Antoninho;0.25;0.43
57.961.321/0001-70;2025-03-31;1;AVENIDA DOUTOR MARTIN LUTHER KING, S/N - LOTE 3 QD 1 - Umuarama - Osasco - SP;5767.73;Loteamento Jardim Santo Antoninho;0.27;0.4689
57.961.321/0001-70;2025-03-31;1;ALAMEDA PAINEIRA VERMELHA, 168 - LOTE 4 QD 11 - Adalgisa - Osasco - SP;4902.69;Loteamento Jardim Lorian;0.23;0.354
57.961.321/0001-70;2025-03-31;1;AVENIDA MANOEL DE NÓBREGA - RADIALISTA, S/N - L 11 Q H - Adalgisa - Osasco - SP;435;Loteamento Jardim Adalgiza II;0.02;0.0314
57.961.321/0001-70;2025-03-31;1;ALAMEDA PAINEIRA VERMELHA, 146 - LOTE 3 QD 11 - Adalgisa - Osasco - SP;5004.19;Loteamento Jardim Lorian;0.23;0.4099
57.961.321/0001-70;2025-06-30;1;AVENIDA DOUTOR MARTIN LUTHER KING, S/N - LOTE 2 QD 1 - Umuarama - Osasco - SP;5288.62;Loteamento Jardim Santo Antoninho;0.25;0.43
57.961.321/0001-70;2025-06-30;1;AVENIDA DOUTOR MARTIN LUTHER KING, S/N - LOTE 3 QD 1 - Umuarama - Osasco - SP;5767.73;Loteamento Jardim Santo Antoninho;0.27;0.4689
57.961.321/0001-70;2025-06-30;1;ALAMEDA PAINEIRA VERMELHA, 168 - LOTE 4 QD 11 - Adalgisa - Osasco - SP;4902.69;Loteamento Jardim Lorian;0.23;0.354
57.961.321/0001-70;2025-06-30;1;AVENIDA MANOEL DE NÓBREGA - RADIALISTA, S/N - L 11 Q H - Adalgisa - Osasco - SP;435;Loteamento Jardim Adalgiza II;0.02;0.0314
57.961.321/0001-70;2025-06-30;1;ALAMEDA PAINEIRA VERMELHA, 146 - LOTE 3 QD 11 - Adalgisa - Osasco - SP;5004.19;Loteamento Jardim Lorian;0.23;0.4099
